百子湾	1室1厅1卫 	 56 	 精装修 	 4	 北向 	4300
亚运村	3室2厅2卫 	 12 	 精装修 	 9	 南向 	760
广安门	2室 	 65 	None	 4	 南北向 	5000
望京	1室 	 20 	None	 2	 北向 	600
望京	3室1厅1卫 	 12 	 精装修 	 5	 南向 	1560
北关环岛	2室2厅1卫 	 90 	 精装修 	 5	 东西向 	2700
安贞	1室 	 12 	None	 -1	 北向 	800
上地	2室 	 23 	None	 6	 南向 	2000
良乡	3室1厅2卫 	 104 	 中等装修 	 3	 南北向 	2800
定福庄	2室2厅1卫 	 90 	 精装修 	 4	 西南向 	4000
潘家园	1室1厅1卫 	 18 	 精装修 	 10	 东向 	1860
定福庄	2室1厅1卫 	 85 	 精装修 	 18	 东南向 	3500
天通苑	3室 	 13 	None	 7	 北向 	850
西直门	3室1厅1卫 	 65 	None	 精装修 	 南北向 	4000
右安门	2室1厅1卫 	 110 	None	 3	 东西向 	5000
定福庄	2室1厅1卫 	 76 	 精装修 	 3	 南北向 	3200
建国门	2室1厅1卫 	 82 	 豪华装修 	 8	 南北向 	6800
八大处	1室1厅1卫 	 74 	 中等装修 	 6	 西北向 	3500
花园桥	2室 	 25 	None	 2	 南向 	2450
四季青	1室 	 18 	None	 2	 东西向 	700
崇文门	3室1厅1卫 	 120 	None	 精装修 	 南北向 	6000
蒲黄榆	2室1厅1卫 	 85 	 精装修 	 3	 西向 	4800
东辛房	2室1厅1卫 	 64 	 毛坯 	 4	 南北向 	1600
天通苑	3室 	 11 	None	 5	 南北向 	450
天坛	4室 	 20 	None	 6	 东向 	2500
定福庄	1室1卫 	 51 	 精装修 	 10	 北向 	3200
西三旗	1室 	 16 	None	 1	 南北向 	1000
良乡	2室1厅1卫 	 82 	 中等装修 	 3	 南北向 	2100
人民大学	1室1厅1卫 	 50 	 精装修 	 5	 南向 	3000
天通苑	3室 	 18 	None	 9	 东向 	1150
回龙观	2室 	 71 	None	 4	 南北向 	3100
呼家楼	1室1厅1卫 	 50 	 精装修 	 6	 南向 	3500
西北旺	3室 	 106 	None	 3	 南北向 	3100
红莲	1室1厅1卫 	 40 	 精装修 	 10	 南向 	2800
昌平县城	3室1厅1卫 	 90 	 精装修 	 6	 南北向 	2500
百子湾	1室1厅1卫 	 56 	 精装修 	 4	 北向 	4300
百子湾	3室2厅2卫 	 140 	 精装修 	 5	 南北向 	7000
东直门	1室1厅1卫 	 45 	 精装修 	 6	 南北向 	3300
玉泉营	2室 	 15 	None	 6	 北向 	1300
西苑	1室 	 10 	None	 1	 南向 	600
天通苑	2室 	 12 	None	 8	 南北向 	400
良乡	2室1厅1卫 	 86 	 中等装修 	 6	 南北向 	2200
大红门	2室1厅1卫 	 58 	 简单装修 	 2	 南北向 	3800
右安门	1室1厅1卫 	 40 	 精装修 	 6	 西向 	2800
天通苑	2室 	 16 	None	 5	 南向 	850
双榆树	2室1厅1卫 	 102 	 精装修 	 12	 东南向 	6000
望京	1室 	 22 	None	 3	 南北向 	1000
霍营	2室1厅1卫 	 75 	 中等装修 	 4	 南北向 	3500
广安门	1室1厅1卫 	 55 	 精装修 	 20	 南向 	3600
太阳宫	1室1厅1卫 	 80 	 精装修 	 5	 南向 	6000
太阳宫	3室2厅2卫 	 180 	 精装修 	 6	 南北向 	9000
上地	3室 	 15 	None	 4	 东北向 	1750
黄村	2室1厅1卫 	 57 	None	 2	 东西向 	2600
北苑	1室1厅1卫 	 65 	 精装修 	 2	 南北向 	2400
甘露园	2室1厅1卫 	 65 	 精装修 	 3	 南向 	3300
双桥	2室 	 17 	None	 3	 东向 	1200
刘家窑	2室1厅1卫 	 60 	None	 9	 南向 	4000
北苑	2室 	 13 	None	 12	 南向 	400
天通苑	3室 	 15 	None	 9	 南向 	650
崇文门	2室 	 112 	None	 10	 南向 	9000
苏州街	1室1厅1卫 	 50 	 精装修 	 3	 南向 	3600
双桥	2室1厅1卫 	 90 	None	 3	 南北向 	4000
双桥	1室1厅1卫 	 61 	None	 5	 南向 	2800
龙泽	1室1厅1卫 	 60 	 精装修 	 3	 南北向 	3000
良乡	2室1厅1卫 	 82 	 中等装修 	 4	 南北向 	2100
其他	2室 	 150 	None	 4	 南北向 	3999
怀柔	4室 	 15 	None	 6	 南向 	550
定福庄	4室1厅1卫 	 120 	 精装修 	 19	 南向 	5000
蒲黄榆	2室1厅1卫 	 70 	 中等装修 	 11	 南向 	3800
天通苑	3室 	 14 	None	 12	 东向 	900
花园桥	2室 	 25 	None	 2	 南向 	2400
百子湾	1室1厅1卫 	 56 	 精装修 	 13	 南向 	3900
龙泽	3室1厅1卫 	 100 	 精装修 	 1	 南北向 	4200
红莲	1室1厅1卫 	 40 	 精装修 	 10	 南向 	2800
昌平县城	3室1厅1卫 	 90 	 精装修 	 6	 南北向 	2500
百子湾	1室1厅1卫 	 56 	 精装修 	 4	 北向 	4300
百子湾	3室2厅2卫 	 140 	 精装修 	 5	 南北向 	7000
小营	1室1厅1卫 	 66 	 精装修 	 19	 北向 	5000
玉泉营	1室1厅1卫 	 53 	 中等装修 	 1	 北向 	3700
西直门	2室1厅1卫 	 60 	 精装修 	 2	 东南向 	4700
南苑	1室 	 58 	None	 6	 东西向 	2300
北苑	2室 	 20 	None	 9	 南向 	800
天通苑	2室 	 11 	None	 9	 南北向 	400
杨庄	2室1厅1卫 	 88 	None	 5	 东西向 	3500
四季青	2室1厅1卫 	 75 	None	 2	 南北向 	3500
天通苑	1室 	 15 	None	 2	 东向 	550
甘露园	1室1厅1卫 	 55 	 精装修 	 4	 南向 	3000
海运仓	3室1厅1卫 	 95 	 精装修 	 6	 东南向 	8900
回龙观	2室 	 98 	None	 1	 南向 	4500
什刹海	2室1厅1卫 	 60 	None	 精装修 	 南向 	4500
团结湖	2室1厅1卫 	 65 	 精装修 	 3	 南北向 	4600
八角	2室1厅1卫 	 65 	 精装修 	 1	 南向 	2650
团结湖	1室1厅1卫 	 50 	 精装修 	 11	 南向 	4100
怀柔	3室 	 120 	None	 1	 南向 	2300
双桥	1室1厅1卫 	 20 	 精装修 	 1	 南向 	800
双桥	1室1厅1卫 	 20 	 中等装修 	 2	 南向 	750
双桥	1室1厅1卫 	 20 	 中等装修 	 2	 南向 	650
双桥	1室1厅1卫 	 20 	 中等装修 	 2	 南向 	650
双桥	1室1厅1卫 	 20 	 精装修 	 2	 南向 	700
双桥	1室1厅1卫 	 20 	 中等装修 	 2	 南向 	700
双桥	1室1厅1卫 	 20 	 精装修 	 2	 南向 	650
五里店	1室1厅1卫 	 45 	 毛坯 	 -1	 南向 	1000
天通苑	3室 	 17 	None	 6	 北向 	1000
回龙观	4室 	 15 	None	 4	 南向 	600
西直门	1室1卫 	 50 	 精装修 	 11	 东向 	5000
定福庄	2室2厅1卫 	 98 	 精装修 	 5	 南北向 	5200
回龙观	1室 	 18 	None	 3	 东向 	600
天通苑	3室 	 13 	None	 6	 北向 	1000
马家堡	2室 	 14 	None	 5	 南北向 	1500
望京	2室2厅1卫 	 103 	None	 1	 东北向 	5500
望京	2室2厅1卫 	 102 	None	 18	 南向 	6000
奥运村	3室2厅2卫 	 148 	 精装修 	 10	 南北向 	9000
望京	2室1厅1卫 	 70 	None	 5	 南北向 	4900
龙泽	2室 	 70 	None	 6	 东西向 	4000
天通苑	3室 	 31 	None	 5	 南向 	1850
红莲	1室1厅1卫 	 40 	 精装修 	 10	 南向 	2800
昌平县城	3室1厅1卫 	 90 	 精装修 	 6	 南北向 	2500
百子湾	1室1厅1卫 	 56 	 精装修 	 4	 北向 	4300
亚运村	3室2厅2卫 	 12 	 精装修 	 9	 南向 	760
玉泉营	1室1厅1卫 	 53 	 中等装修 	 1	 北向 	3700
西直门	2室1厅1卫 	 60 	 精装修 	 2	 东南向 	4700
甘露园	1室1厅1卫 	 55 	 精装修 	 4	 南向 	3000
新宫	2室 	 15 	None	 4	 南向 	1000
立水桥	2室 	 12 	None	 12	 南向 	600
新发地	2室1厅1卫 	 69 	 简单装修 	 2	 南北向 	3200
回龙观	3室 	 15 	None	 1	 北向 	950
海运仓	3室1厅1卫 	 95 	 精装修 	 6	 东南向 	8900
团结湖	2室1厅1卫 	 65 	 精装修 	 3	 南北向 	4600
什刹海	2室1厅1卫 	 60 	None	 精装修 	 南向 	4500
鲁谷	2室 	 13 	None	 6	 北向 	1400
天通苑	3室 	 19 	None	 6	 北向 	1250
西北旺	4室3厅3卫 	 240 	 精装修 	 2	 南北向 	6500
蒲黄榆	2室1厅1卫 	 53 	 中等装修 	 4	 东西向 	3500
八角	2室1厅1卫 	 80 	 精装修 	 3	 南北向 	3500
八角	2室1厅1卫 	 65 	 精装修 	 1	 南向 	2650
团结湖	1室1厅1卫 	 50 	 精装修 	 11	 南向 	4100
双桥	1室1厅1卫 	 20 	 精装修 	 1	 南向 	800
双桥	1室1厅1卫 	 20 	 中等装修 	 2	 南向 	750
双桥	1室1厅1卫 	 20 	 中等装修 	 2	 南向 	650
双桥	1室1厅1卫 	 20 	 中等装修 	 2	 南向 	650
双桥	1室1厅1卫 	 20 	 精装修 	 2	 南向 	700
双桥	1室1厅1卫 	 20 	 中等装修 	 2	 南向 	700
安贞	3室 	 26 	None	 4	 南向 	2100
北苑	2室 	 18 	None	 9	 南向 	800
天通苑	3室 	 18 	None	 7	 北向 	1000
双桥	1室1厅1卫 	 20 	 精装修 	 2	 南向 	650
五里店	1室1厅1卫 	 45 	 毛坯 	 -1	 南向 	1000
西直门	1室1卫 	 50 	 精装修 	 11	 东向 	5000
望京	1室1厅1卫 	 67 	 豪华装修 	 21	 东向 	6000
科技园区	2室 	 61 	None	 8	 东向 	4000
花市	1室 	 52 	None	 3	 南向 	3500
定福庄	2室2厅1卫 	 98 	 精装修 	 5	 南北向 	5200
怀柔	2室 	 97 	None	 3	 东西向 	2200
双井	3室 	 180 	None	 3	 南北向 	450
燕郊	1室1厅1卫 	 56 	 精装修 	 6	 东北向 	1300
望京	2室2厅1卫 	 103 	None	 1	 东北向 	5500
望京	2室2厅1卫 	 102 	None	 18	 南向 	6000
